Transaction Date,Post Date,Description,Category,Type,Amount
07/22/2018,07/23/2018,NORTH PARK PRODUCE,Groceries,Sale,-1.04
07/22/2018,07/23/2018,LITTLE SHEEP MONGOLIAN,Food & Drink,Sale,-58.29
